epoch,loss,accuracy,val_loss,val_accuracy
0,0.16199533641338348,0.9448632597923279,0.5811475515365601,0.8240885138511658
1,0.135049968957901,0.9495351314544678,0.692967414855957,0.7916666865348816
2,0.10278651863336563,0.9642343521118164,0.2987823784351349,0.9063802361488342
3,0.11358125507831573,0.9609296917915344,0.3429712653160095,0.8881510496139526
4,0.08859194815158844,0.9687812328338623,0.9716336131095886,0.7867187261581421
5,0.08051803708076477,0.9721835851669312,0.8695822954177856,0.766406238079071
6,0.10275010019540787,0.9621210694313049,0.9896838068962097,0.743359386920929
7,0.09712662547826767,0.9674492478370667,1.0058456659317017,0.7157552242279053
8,0.09404798597097397,0.9669179916381836,0.33389195799827576,0.905468761920929
9,0.08805493265390396,0.9706133008003235,0.6126406192779541,0.8641927242279053
10,0.09074948728084564,0.9689921736717224,0.9701220989227295,0.6963541507720947
11,0.09172035753726959,0.9680742025375366,0.6841391921043396,0.774218738079071
12,0.09989859163761139,0.9663633108139038,0.503122866153717,0.8522135615348816
13,0.057900942862033844,0.9818828105926514,0.6129952669143677,0.8619791865348816
14,0.055596642196178436,0.9819023609161377,0.6499652862548828,0.7647135257720947
15,0.09889938682317734,0.9648593664169312,0.7656052708625793,0.814453125
16,0.07170304656028748,0.9764726758003235,0.890853762626648,0.7923176884651184
17,0.059114567935466766,0.9792460799217224,0.3746258616447449,0.9177083373069763
18,0.08368062227964401,0.9694023728370667,0.988865077495575,0.7442708611488342
19,0.09649630635976791,0.9658554792404175,0.6836181879043579,0.8203125
20,0.09230475127696991,0.966183602809906,0.3693659007549286,0.8882812261581421
21,0.07811848819255829,0.9736015796661377,1.152612566947937,0.653124988079071
22,0.07526785880327225,0.9735898375511169,1.2570751905441284,0.6976562738418579
23,0.07285282015800476,0.9746601581573486,1.4306776523590088,0.6716145873069763
24,0.09771817922592163,0.9662304520606995,0.7127043604850769,0.7925781011581421
25,0.0763704851269722,0.973437488079071,1.5250788927078247,0.6470052003860474
26,0.06436071544885635,0.9789296984672546,0.9019359350204468,0.7861979007720947
27,0.08675296604633331,0.9705663919448853,1.346582293510437,0.5746093988418579
28,0.062185242772102356,0.9776757955551147,0.4456591308116913,0.8493489623069763
29,0.062002986669540405,0.9779921770095825,0.237877756357193,0.905468761920929
30,0.07626943290233612,0.9741328358650208,0.31535816192626953,0.8686197996139526
31,0.07626734673976898,0.9721132516860962,1.1286101341247559,0.7665364742279053
